time,dataid,cleaning_system,cooling_system,lightning_system,milk_pump,RO,vacuum_pump,osmose,coldroom,water_pump,non-shiftable,total
2022-05-30 19:50:00,1.0,7.5771,23.9186,33.3713,4.6185,0.0,1.2449,0.0,0.0,0.0,0.0,70.73039999999999
2022-05-30 20:00:00,1.0,7.5444,37.8582,41.6058,4.5859,0.0,1.2059,0.0,0.0,0.0,0.0,92.80019999999999
2022-05-30 20:10:00,1.0,7.5839,23.9274,37.2507,4.6024,0.0,1.1519,0.0,0.0,0.0,0.0,74.5163
2022-05-30 20:20:00,1.0,7.5056,38.4092,23.9009,4.614,0.0,1.1758,0.0,0.0,0.0,0.0,75.60549999999999
2022-05-30 20:30:00,1.0,7.5725,24.1511,45.5965,4.6165,0.0,1.2037,0.0,0.0,0.0,0.0,83.1403
2022-05-30 20:40:00,1.0,7.5722,24.1411,53.1446,4.6264,0.0,1.2186,0.0,0.0,0.0,0.0,90.7029
2022-05-30 20:50:00,1.0,7.5191,38.4856,41.2188,4.6163,0.0,1.1914,0.0,0.0,0.0,0.0,93.0312
2022-05-30 21:00:00,1.0,7.6063,23.9459,25.987,4.5898,0.0,1.206,0.0,0.0,0.0,0.0,63.33500000000001
2022-05-30 21:10:00,1.0,7.5878,37.7009,39.0056,4.581,0.0,1.1496,0.0,0.0,0.0,0.0,90.0249
2022-05-30 21:20:00,1.0,7.5947,23.9157,25.2347,4.5781,0.0,1.1227,0.0,0.0,0.0,0.0,62.4459
2022-05-30 21:30:00,1.0,7.5665,37.6565,17.9444,4.5595,0.0,1.1252,0.0,0.0,0.0,0.0,68.85210000000001
2022-05-30 21:40:00,1.0,7.6309,23.9681,59.4731,4.5804,0.0,1.1214,0.0,0.0,0.0,0.0,96.7739
2022-05-30 21:50:00,1.0,7.5428,38.0951,45.6185,4.5982,0.0,1.1197,0.0,0.0,0.0,0.0,96.9743
2022-05-30 22:00:00,1.0,7.6035,23.9638,37.6587,4.5856,0.0,1.1459,0.0,0.0,0.0,0.0,74.9575
2022-05-30 22:10:00,1.0,7.5704,35.1419,52.1759,4.5866,0.0,1.1163,0.0,0.0,0.0,0.0,100.5911
2022-05-30 22:20:00,1.0,7.6056,26.8,33.4614,4.5834,0.0,1.1226,0.0,0.0,0.0,0.0,73.573
2022-05-30 22:30:00,1.0,7.5974,24.0705,29.2733,4.5894,0.0,1.1904,0.0,0.0,0.0,0.0,66.72099999999999
2022-05-30 22:40:00,1.0,7.5335,38.0561,17.913,4.5991,0.0,1.201,0.0,0.0,0.0,0.0,69.30269999999999
2022-05-30 22:50:00,1.0,7.5719,24.1589,50.3341,4.5931,0.0,1.207,0.0,0.0,0.0,0.0,87.86499999999998
2022-05-30 23:00:00,1.0,7.5381,38.2405,41.9133,4.6104,0.0,1.2119,0.0,0.0,0.0,0.0,93.5142
2022-05-30 23:10:00,1.0,7.6009,24.16,25.3887,4.6125,0.0,1.2238,0.0,0.0,0.0,0.0,62.985899999999994
2022-05-30 23:20:00,1.0,7.5411,38.3379,17.9298,4.6046,0.0,1.2245,0.0,0.0,0.0,0.0,69.6379
2022-05-30 23:30:00,1.0,7.5462,24.2815,18.0455,4.623,0.0,1.2322,0.0,0.0,0.0,0.0,55.72839999999999
