Biomass type;M;VM;FC;A;C;O;H;N;S;T (°C);AFR (kg/kg);Wnet (kW)
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;600;1.8;39.01
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;600;2;31.92
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;600;2.3;24.43
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;900;1.8;122.87
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;900;2;109.94
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;900;2.3;96.11
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1200;1.8;159.83
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1200;2;150.75
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1200;2.3;140.59
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1500;1.8;195.68
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1500;2;190.55
Wheat straw;10.1;74.8;18.1;7.1;45.8926;40.5044;5.6669;0.6503;0.1858;1500;2.3;184.20
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;600;1.8;75.80
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;600;2;69.06
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;600;2.3;61.83
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;900;1.8;170.65
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;900;2;158.87
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;900;2.3;145.76
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1200;1.8;207.61
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1200;2;200.17
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1200;2.3;191.18
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1500;1.8;243.13
Almond shells;7.2;74.9;21.8;3.3;48.6401;41.0975;5.9954;0.967;0;1500;2;240.02
